model,id,outcome,error_types,regression_type,y0_length,y1_length
qwen,gsm8k_test_147,WW,"arithmetic,logic",,210,210
qwen,gsm8k_test_148,CC,,,122,12
qwen,gsm8k_test_149,CC,,,194,11
qwen,gsm8k_test_150,CC,,,152,25
qwen,gsm8k_test_151,CC,,,129,11
qwen,gsm8k_test_152,CC,,,184,184
qwen,gsm8k_test_153,WW,"arithmetic,incomplete,logic",,255,14
qwen,gsm8k_test_154,CC,,,277,17
qwen,gsm8k_test_155,WW,"logic,misunderstood",,256,20
qwen,gsm8k_test_156,WW,"incomplete,logic,misunderstood",,182,16
qwen,gsm8k_test_157,WW,"incomplete,logic,misunderstood",,161,13
qwen,gsm8k_test_158,CC,,,168,12
qwen,gsm8k_test_159,WW,"arithmetic,logic",,113,15
qwen,gsm8k_test_160,CC,,,160,17
qwen,gsm8k_test_161,CC,,,266,266
qwen,gsm8k_test_162,WW,logic,,180,19
qwen,gsm8k_test_163,CC,,,126,15
qwen,gsm8k_test_164,CC,,,174,15
qwen,gsm8k_test_165,WW,misunderstood,,231,237
qwen,gsm8k_test_166,CW,,truncated,187,19
qwen,gsm8k_test_167,CC,,,307,9
qwen,gsm8k_test_168,CC,,,111,8
qwen,gsm8k_test_169,CC,,,123,717
qwen,gsm8k_test_170,CC,,,188,13
qwen,gsm8k_test_171,CC,,,144,13
qwen,gsm8k_test_172,WW,"arithmetic,logic",,173,16
qwen,gsm8k_test_173,CC,,,95,12
qwen,gsm8k_test_174,CC,,,243,14
qwen,gsm8k_test_175,CC,,,337,16
qwen,gsm8k_test_176,CC,,,160,14
qwen,gsm8k_test_177,CC,,,246,17
qwen,gsm8k_test_178,CC,,,145,18
qwen,gsm8k_test_179,CC,,,60,16
qwen,gsm8k_test_180,CC,,,156,13
qwen,gsm8k_test_181,CW,,truncated,209,14
qwen,gsm8k_test_182,CC,,,242,242
qwen,gsm8k_test_183,WW,logic,,197,232
qwen,gsm8k_test_184,WW,other,,276,26
qwen,gsm8k_test_185,CC,,,75,91
qwen,gsm8k_test_186,WW,misunderstood,,172,172
qwen,gsm8k_test_187,WW,logic,,152,18
qwen,gsm8k_test_188,CW,,truncated,247,5
qwen,gsm8k_test_189,WW,"incomplete,logic,misunderstood",,180,8
qwen,gsm8k_test_190,CC,,,150,211
qwen,gsm8k_test_191,CC,,,188,17
qwen,gsm8k_test_192,CC,,,297,297
qwen,gsm8k_test_193,CC,,,221,221
qwen,gsm8k_test_194,CC,,,119,12
qwen,gsm8k_test_195,CC,,,156,13
qwen,gsm8k_test_196,CC,,,150,17
qwen,gsm8k_test_197,WW,"incomplete,logic,misunderstood",,137,10
qwen,gsm8k_test_198,WW,"incomplete,logic,misunderstood",,195,13
qwen,gsm8k_test_199,CC,,,178,11
