model,dataset,strategy,task_type,response_length,num_reasoning_steps,has_hedging,y0_correct,label,confidence
llama,strategyqa,s4,commonsense,1,0,False,False,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,52,0,False,False,0,5
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,-1,2
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,217,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,4,0,False,False,0,5
llama,strategyqa,s4,commonsense,32,0,False,False,0,2
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,6
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,5
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,173,4,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,29,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,2
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,16,0,False,False,0,5
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,17,0,False,False,0,5
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,9
llama,strategyqa,s4,commonsense,4,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,6
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,5
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,4,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,1
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,82,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,16,0,False,False,0,5
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,48,0,False,False,0,2
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,5
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,124,2,False,False,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,5
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,67,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,5
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,9,0,False,False,0,5
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,10
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,50,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,4,0,False,False,0,5
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,-1,2
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,9
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,6
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,True,0,8
llama,strategyqa,s4,commonsense,1,0,False,False,0,8
